		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101010   27   33   23   24   20   23   25   18  6.163218 0.628955 SUCCESS 137
111101100   32   27   15   24   24   32   24   22  9.189128 0.326594 SUCCESS 138
111101110   26   25   21   33   21   30   27   22  6.097020 0.636365 SUCCESS 139
111110000   30   24   26   30   17   22   21   22  6.069879 0.639405 SUCCESS 140
111110010   20   29   19   23   30   29   29   21  6.647125 0.575139 SUCCESS 141
111110100   26   26   26   21   23   33   31   24  5.885849 0.660017 SUCCESS 142
111110110   38   29   26   24   27   25   23   20 10.054997 0.261187 SUCCESS 143
111111000   30   24   30   32   19   25   20   26  7.291894 0.505492 SUCCESS 144
111111010   27   26   30   19   19   30   24   20  6.349896 0.608101 SUCCESS 145
111111100   32   35   26   26   17   19   25   27 11.282970 0.186175 SUCCESS 146
111111110   33   31   28   30   14   18   22   27 13.705816 0.089763 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   24   24   14   28   24   19   26   21  6.983411 0.538424 SUCCESS   0
000000011   21   32   16   26   24   27   28   26  6.986059 0.538138 SUCCESS   1
000000101   20   24   25   27   27   26   23   19  2.841403 0.943912 SUCCESS   2
000000111   19   31   31   12   18   17   38   25 23.346890 0.002946 FAILURE   3
000001001   21   22   25   27   27   27   21   25  2.113226 0.977342 SUCCESS   4
000001011   31   26   30   30   24   33   21   24  8.251102 0.409334 SUCCESS   5
000001101   26   26   21   29   23   18   24   28  3.977361 0.859160 SUCCESS   6
